Importancia_Criticidade,Multiplicador_Geral,Multiplicador_ODS9,Multiplicador_ODS11,Multiplicador_ODS12,Multiplicador_E,Multiplicador_S,Multiplicador_G,Criterio_Textual
Baixa,0.85,0.9,0.9,0.9,0.9,0.85,0.9,baixo impacto; sem urgencia; sem risco de interrupcao
Media,1.0,1.0,1.0,1.0,1.0,1.0,1.0,demanda operacional regular
Alta,1.25,1.15,1.35,1.15,1.05,1.45,1.25,risco; seguranca; salubridade; paralisacao; alta criticidade
Urgente_Emergencial,1.45,1.3,1.6,1.25,1.1,1.7,1.45,emergencial; urgente; interrupcao; risco imediato; impossibilidade de uso
Preventiva,1.1,1.05,1.0,1.35,1.35,0.95,1.25,preventiva; inspecao; vistoria; plano de manutencao
Recorrente,1.2,1.1,1.15,1.35,1.25,1.1,1.35,retorno; repetido; recorrente; problema voltou; reincidente
