Campus,N_chamados_total,N_infra_critica,Tempo_medio_resolucao_dias,Taxa_resolucao_no_prazo,N_criticos_alta,N_em_espaco_coletivo,Densidade_chamados_por_1000m2,Razao_preventiva_corretiva,Valor_total_gasto_R$,N_chamados_repetidos
Campus Jorge Amado,3885,1253,,,0,308,0,0.235,6112503.87,0
Campus Maria Felipa - Jequié,11,4,,,0,0,0,0.364,0,0
Campus Paulo Freire,3834,1137,,,0,416,0,0.325,3125738.73,0
Campus Sosígenes Costa,4195,1228,,,0,430,0,0.386,8628216.97,0
Reitoria,2424,788,,,0,56,0,0.222,2227301.57,0
